engine,samples_seen,detections,detection_rate
K7GW,157,151,0.9618
McAfee,150,146,0.9733
Avira,157,142,0.9045
DrWeb,157,142,0.9045
Fortinet,157,142,0.9045
Ikarus,143,140,0.979
Kaspersky,151,140,0.9272
Cynet,155,140,0.9032
CAT-QuickHeal,157,139,0.8854
McAfee-GW-Edition,148,138,0.9324
AhnLab-V3,157,135,0.8599
BitDefenderFalx,145,130,0.8966
Trustlook,145,129,0.8897
SymantecMobileInsight,154,129,0.8377
Avast-Mobile,157,127,0.8089
ESET-NOD32,157,123,0.7834
Symantec,157,123,0.7834
AegisLab,151,97,0.6424
Sophos,153,93,0.6078
MaxSecure,154,84,0.5455
